config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	zmid	sob	flash_edep	alpha	obj
foilspfbpz07R10_00	65.9138	106.8816	113.1604	0.022396	0.052742	0.073733	0.1319	0.2828	0.4893	25.4688	4.04000	5.75997e-07	100000.000	3.98240
foilspfbpz07R11_01	103.2858	120.6813	99.6922	0.014800	0.065577	0.087253	0.1846	0.3386	0.3993	38.1850	4.05000	6.25574e-07	100000.000	3.98744
foilspfbpz07R13_00	43.5658	116.1344	133.8401	0.068264	0.051583	0.074965	0.3334	0.2123	0.4194	-22.5962	4.08000	6.68483e-07	100000.000	4.01315
foilspfbpz07R11_00	99.6745	103.0623	116.9368	0.018037	0.071303	0.035832	0.0904	0.2627	0.3544	-37.1405	4.15000	6.69505e-07	100000.000	4.08305
foilspfbpz07R14_00	66.4902	106.0455	112.5144	0.018589	0.072310	0.032096	0.3262	0.2107	0.4470	-43.3520	4.12000	6.88044e-07	100000.000	4.05120
foilspfbpz07R12_00	105.8399	103.8684	124.2086	0.017891	0.082497	0.067615	0.3928	0.2696	0.6092	4.0857	4.06000	6.40769e-07	100000.000	3.99592
foilspfbpz07R15_00	69.3199	108.7297	88.6154	0.066326	0.072339	0.082251	0.3250	0.3199	0.5108	-30.4614	4.08000	6.81951e-07	100000.000	4.01180
foilspfbpz07R16_00	88.9622	97.7630	125.7593	0.011267	0.083313	0.020067	0.0027	0.2509	0.5721	-25.3099	4.08000	7.19852e-07	100000.000	4.00801
foilspfbpz07R17_00	80.4393	108.7163	102.8495	0.080668	0.058706	0.049683	0.4908	0.2854	0.6035	147.6671	4.05000	5.82807e-07	100000.000	3.99172
foilspfbpz07R18_00	86.3616	117.4381	66.2592	0.011876	0.091713	0.059826	0.4129	0.2660	0.8862	44.4726	4.00000	6.19045e-07	100000.000	3.93810
foilspfbpz07R19_00	70.9444	127.7641	82.1950	0.027975	0.061162	0.122541	0.5087	0.2906	0.4681	-80.7675	4.03000	6.26727e-07	100000.000	3.96733
foilspfbpz07R00_18	50.0660	88.7057	96.1087	0.047121	0.103014	0.083032	0.3872	0.4957	0.3854	-40.3501	3.94000	7.27933e-07	100000.000	3.86721
foilspfbpz07R00_14	85.6895	129.2330	93.3146	0.109988	0.055085	0.064876	0.0635	0.3560	0.5381	61.3764	3.93000	6.17714e-07	100000.000	3.86823
foilspfbpz07R00_02	65.3439	107.9050	106.4291	0.091096	0.078258	0.059264	0.2052	0.2669	0.6548	2.4381	4.07000	7.61969e-07	100000.000	3.99380
foilspfbpz07R00_13	55.8859	107.1747	81.3016	0.042423	0.094355	0.084049	0.2910	0.4220	0.6820	76.8192	3.98000	5.87275e-07	100000.000	3.92127
foilspfbpz07R00_07	95.7142	94.6683	78.6599	0.059325	0.091597	0.083635	0.1905	0.5406	0.2803	28.4155	4.00000	7.44355e-07	100000.000	3.92556
foilspfbpz07R00_09	45.3899	120.8971	71.2660	0.107699	0.072321	0.055026	0.1787	0.4585	0.2341	36.3762	4.03000	6.58521e-07	100000.000	3.96415
foilspfbpz07R00_19	125.3566	115.1539	74.5831	0.053506	0.078331	0.037453	0.0941	0.3285	0.8725	33.6881	3.88000	5.95893e-07	100000.000	3.82041
foilspfbpz07R00_08	51.3062	120.6312	56.0054	0.079773	0.060886	0.040028	0.1549	0.3108	0.7060	117.0122	4.05000	6.84181e-07	100000.000	3.98158
