config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash04R02_04	111.0527	179.2844	0.010000	0.010000	0.0000	0.3937	3.30000	6.81199e-07	100000.000	3.23188
foilsflash04R02_08	97.0078	97.7975	0.010000	0.297467	0.9500	0.9500	3.23000	6.49661e-07	100000.000	3.16503
foilsflash04R02_09	78.2967	114.7748	0.010000	0.165290	0.7084	0.3384	3.70000	8.27232e-07	100000.000	3.61728
foilsflash05R00_04	113.3310	128.3431	0.010000	0.185717	0.7836	0.8289	3.28000	6.27686e-07	100000.000	3.21723
foilsflash05R00_00	50.0000	148.9639	0.010000	0.203555	0.7367	0.8964	3.12000	6.35566e-07	100000.000	3.05644
foilsflash05R00_06	250.0000	196.8581	0.010000	0.388127	0.9500	0.9324	2.89000	6.23387e-07	100000.000	2.82766
foilsflash05R00_03	66.6207	201.2213	0.010000	0.223465	0.4326	0.8404	2.90000	6.61336e-07	100000.000	2.83387
foilsflash05R00_01	151.4987	224.4729	0.010000	0.263649	0.9500	0.8638	2.82000	6.23011e-07	100000.000	2.75770
foilsflash05R00_05	250.0000	168.8803	0.010000	0.010000	0.0000	0.2093	3.29000	6.77012e-07	100000.000	3.22230
foilsflash05R00_09	250.0000	127.8907	0.010000	0.146038	0.8638	0.9500	3.15000	6.45795e-07	100000.000	3.08542
foilsflash05R00_07	202.3460	250.0000	0.010000	0.010000	0.0000	0.7495	3.18000	6.52356e-07	100000.000	3.11476
foilsflash05R00_08	99.6338	160.5959	0.010000	0.231570	0.9500	0.8065	3.01000	6.32329e-07	100000.000	2.94677
foilsflash06R00_00	155.2517	239.2328	0.010000	0.527758	0.9500	0.9286	2.74000	6.37661e-07	100000.000	2.67623
foilsflash06R00_10	250.0000	250.0000	0.010000	0.372784	0.9500	0.7007	2.20000	6.55382e-07	100000.000	2.13446
foilsflash06R00_04	178.9006	171.4653	0.010000	0.611699	0.9500	0.9500	2.92000	6.45766e-07	100000.000	2.85542
foilsflash06R00_01	250.0000	203.7696	0.010000	0.212042	0.8250	0.9500	3.02000	6.52137e-07	100000.000	2.95479
foilsflash06R00_02	127.0010	207.5306	0.824033	0.304874	0.9500	0.9500	2.98000	6.48158e-07	100000.000	2.91518
foilsflash06R00_03	105.5504	101.5038	0.010000	0.167408	0.6335	0.1595	3.76000	9.40633e-07	100000.000	3.66594
foilsflash06R00_09	182.2021	157.9458	0.010000	0.343592	0.6587	0.9500	3.01000	6.59110e-07	100000.000	2.94409
foilsflash06R00_12	50.0000	250.0000	0.010000	0.467904	0.9500	0.9500	2.86000	6.62882e-07	100000.000	2.79371
foilsflash06R00_06	50.0000	250.0000	0.010000	0.010000	0.9500	0.5384	3.12000	6.36184e-07	100000.000	3.05638
foilsflash06R00_08	250.0000	225.5296	1.000000	0.444924	0.9500	0.8363	2.34000	6.57570e-07	100000.000	2.27424
foilsflash06R00_15	168.7170	50.0000	0.010000	0.165161	0.0145	0.9500	3.25000	6.64057e-07	100000.000	3.18359
foilsflash06R00_17	250.0000	128.8392	0.010000	0.368616	0.0000	0.9500	3.20000	6.54428e-07	100000.000	3.13456
foilsflash06R00_11	250.0000	250.0000	0.010000	0.097314	0.9500	0.9500	3.08000	6.47823e-07	100000.000	3.01522
foilsflash06R00_14	250.0000	250.0000	0.010000	0.201068	0.0000	0.9500	3.07000	6.57246e-07	100000.000	3.00428
foilsflash06R00_05	231.2969	121.9031	0.010000	0.552769	0.9500	0.9500	3.15000	6.37986e-07	100000.000	3.08620
foilsflash06R00_13	90.5639	250.0000	1.000000	0.085671	0.9500	0.6913	2.90000	6.40156e-07	100000.000	2.83598
foilsflash06R00_19	50.0000	179.3820	1.000000	0.545001	0.9500	0.9500	2.87000	7.04294e-07	100000.000	2.79957
foilsflash06R00_18	118.8942	100.9425	0.010000	0.147402	0.7933	0.0571	3.77000	9.93945e-07	100000.000	3.67061
foilsflash06R00_16	250.0000	250.0000	0.010000	0.646501	0.9500	0.9500	2.78000	6.41850e-07	100000.000	2.71582
foilsflash06R01_01	250.0000	250.0000	1.000000	0.011421	0.9500	0.7307	2.90000	6.34369e-07	100000.000	2.83656
foilsflash06R01_00	50.0000	250.0000	0.010000	0.155373	0.9500	0.9500	3.05000	6.39551e-07	100000.000	2.98604
foilsflash06R01_06	250.0000	147.3406	0.010000	1.000000	0.9500	0.9500	2.95000	6.45899e-07	100000.000	2.88541
foilsflash06R01_13	50.0000	92.3093	1.000000	0.293022	0.9500	0.9500	3.16000	6.58056e-07	100000.000	3.09419
foilsflash06R01_05	250.0000	53.2543	0.010000	0.824785	0.9500	0.9500	3.20000	7.11465e-07	100000.000	3.12885
foilsflash06R01_03	145.0168	250.0000	0.010000	0.061856	0.9500	0.7281	3.02000	6.45685e-07	100000.000	2.95543
foilsflash06R01_17	250.0000	50.0225	0.010000	0.010000	0.0000	0.8029	3.20000	6.83714e-07	100000.000	3.13163
foilsflash06R01_09	250.0000	53.4988	0.786191	0.424927	0.9500	0.9500	3.00000	6.70470e-07	100000.000	2.93295
foilsflash06R01_18	250.0000	250.0000	1.000000	0.010000	0.0000	0.9500	0.81200	1.24585e-06	100000.000	0.68742
foilsflash06R01_12	250.0000	50.0000	0.010000	0.728134	0.3300	0.9500	3.19000	6.76815e-07	100000.000	3.12232
foilsflash06R01_07	250.0000	50.0000	0.010000	0.010000	0.0000	0.4013	3.20000	6.76523e-07	100000.000	3.13235
foilsflash06R01_14	138.6576	102.8177	0.010000	0.150640	0.7176	0.2032	3.74000	8.74885e-07	100000.000	3.65251
foilsflash06R01_19	103.9863	50.0000	0.010000	0.500526	0.2789	0.9500	3.28000	6.81293e-07	100000.000	3.21187
foilsflash06R01_15	250.0000	50.0000	0.826335	0.185756	0.9500	0.9500	2.97000	6.63679e-07	100000.000	2.90363
foilsflash06R01_04	94.6939	250.0000	0.010000	0.010000	0.9500	0.1149	3.25000	6.50150e-07	100000.000	3.18498
foilsflash06R01_08	84.9425	50.0000	0.010000	0.724707	0.9500	0.9500	3.20000	6.81767e-07	100000.000	3.13182
foilsflash06R01_11	250.0000	250.0000	1.000000	0.010000	0.0000	0.6545	0.81200	1.29788e-06	100000.000	0.68221
foilsflash06R01_02	250.0000	50.0000	0.010000	0.343202	0.3969	0.9500	3.14000	6.71614e-07	100000.000	3.07284
foilsflash06R01_10	250.0000	100.0869	0.010000	0.353267	0.9500	0.8162	3.36000	6.54950e-07	100000.000	3.29451
foilsflash06R01_16	250.0000	93.0031	0.010000	0.107662	0.9500	0.0000	3.67000	9.24258e-07	100000.000	3.57757
foilsflash07R00_00	50.0000	250.0000	0.010000	0.994894	0.9500	0.9500	2.70000	6.40649e-07	100000.000	2.63594
foilsflash07R00_01	250.0000	215.3275	0.010000	1.000000	0.2678	0.9500	2.78000	6.55274e-07	100000.000	2.71447
foilsflash07R00_09	50.0000	250.0000	0.010000	1.000000	0.2422	0.9500	2.72000	6.46518e-07	100000.000	2.65535
foilsflash07R00_03	250.0000	250.0000	0.677692	0.010000	0.9500	0.3788	2.98000	6.25574e-07	100000.000	2.91744
foilsflash07R00_02	250.0000	167.8327	1.000000	0.178828	0.9500	0.7108	2.84000	6.25467e-07	100000.000	2.77745
foilsflash07R00_05	213.0294	250.0000	0.589369	1.000000	0.9500	0.9500	2.56000	6.64625e-07	100000.000	2.49354
foilsflash07R00_04	50.0000	50.0000	0.010000	1.000000	0.0000	0.9500	3.23000	6.92205e-07	100000.000	3.16078
foilsflash07R00_07	250.0000	250.0000	0.010000	0.010000	0.4746	0.0754	3.19000	6.68515e-07	100000.000	3.12315
foilsflash07R00_08	50.0000	191.8159	0.010000	1.000000	0.5942	0.9500	2.82000	6.42598e-07	100000.000	2.75574
foilsflash07R00_06	250.0000	50.0000	1.000000	1.000000	0.9500	0.9500	3.00000	7.13268e-07	100000.000	2.92867
foilsflash07R00_16	50.0000	50.0000	0.562081	1.000000	0.0000	0.9500	2.68000	1.00995e-06	100000.000	2.57900
foilsflash07R00_11	250.0000	125.2163	0.010000	1.000000	0.0000	0.9500	3.14000	7.13080e-07	100000.000	3.06869
foilsflash07R00_12	128.0130	250.0000	0.010000	0.865169	0.5493	0.9500	2.79000	6.52477e-07	100000.000	2.72475
foilsflash07R00_14	250.0000	250.0000	0.010000	0.702367	0.0000	0.9500	2.83000	6.60059e-07	100000.000	2.76399
foilsflash07R00_15	250.0000	202.4395	0.448314	0.770846	0.9500	0.8335	2.17000	6.40062e-07	100000.000	2.10599
foilsflash07R00_19	250.0000	50.0000	0.509524	1.000000	0.0000	0.9500	1.55000	1.12112e-06	100000.000	1.43789
foilsflash07R00_10	50.0000	50.0000	0.010000	1.000000	0.5115	0.9500	3.22000	7.20762e-07	100000.000	3.14792
foilsflash07R00_18	250.0000	195.0945	1.000000	1.000000	0.9500	0.9500	2.62000	6.18747e-07	100000.000	2.55813
foilsflash07R00_13	50.0000	50.0000	0.552407	1.000000	0.9500	0.9500	3.19000	7.25843e-07	100000.000	3.11742
foilsflash07R00_17	250.0000	148.7440	1.000000	0.069495	0.9500	0.7906	2.99000	6.27224e-07	100000.000	2.92728
foilsflash07R01_04	50.0000	250.0000	0.445816	0.010000	0.9500	0.3733	3.16000	6.62799e-07	100000.000	3.09372
foilsflash07R01_06	250.0000	250.0000	0.010000	0.010000	0.4222	0.6287	3.05000	6.50500e-07	100000.000	2.98495
foilsflash07R01_07	250.0000	123.5649	0.799579	0.279034	0.9500	0.7480	3.14000	6.33788e-07	100000.000	3.07662
foilsflash07R01_02	50.0000	222.2148	1.000000	1.000000	0.9500	0.8759	2.26000	6.62842e-07	100000.000	2.19372
foilsflash07R01_00	50.0000	132.9393	0.010000	0.757040	0.0000	0.9500	3.11000	6.59927e-07	100000.000	3.04401
foilsflash07R01_01	250.0000	250.0000	1.000000	0.857008	0.9500	0.8032	1.78000	6.48634e-07	100000.000	1.71514
foilsflash07R01_16	50.0000	50.0000	0.010000	0.576808	0.0000	0.7111	3.27000	8.93963e-07	100000.000	3.18060
foilsflash07R01_03	250.0000	250.0000	0.010000	1.000000	0.9500	0.7315	1.74000	6.19804e-07	100000.000	1.67802
foilsflash07R01_08	250.0000	221.6577	0.688512	0.047857	0.9500	0.6380	2.87000	6.14574e-07	100000.000	2.80854
foilsflash07R01_05	50.0000	99.4267	0.010000	0.174903	0.6800	0.0000	3.74000	1.05964e-06	100000.000	3.63404
foilsflash07R01_09	50.0000	168.8709	0.010000	0.845037	0.0000	0.8126	2.42000	6.65402e-07	100000.000	2.35346
foilsflash07R01_14	50.0000	249.9998	0.010000	1.000000	0.0000	0.6435	1.66000	6.27674e-07	100000.000	1.59723
foilsflash07R01_17	203.4397	125.2678	0.010000	0.239944	0.4992	0.0000	3.66000	1.16555e-06	100000.000	3.54344
foilsflash07R01_11	250.0000	250.0000	0.010000	0.147940	0.4187	0.7605	2.80000	6.22579e-07	100000.000	2.73774
foilsflash07R01_10	50.0000	250.0000	0.606481	0.010000	0.9500	0.9500	3.10000	6.43998e-07	100000.000	3.03560
foilsflash07R01_12	50.0000	233.5326	0.010000	0.745313	0.9500	0.7619	1.92000	6.39013e-07	100000.000	1.85610
foilsflash07R01_15	50.0000	120.2163	0.010000	1.000000	0.0000	0.6152	2.74000	7.87045e-07	100000.000	2.66130
foilsflash07R01_19	50.0000	50.0000	0.010000	0.396515	0.0000	0.5968	3.33000	8.67453e-07	100000.000	3.24325
foilsflash07R01_13	50.0000	89.7660	0.010000	0.680685	0.0000	0.9500	3.27000	6.75443e-07	100000.000	3.20246
foilsflash07R01_18	50.0000	250.0000	1.000000	1.000000	0.9500	0.7356	1.73000	6.52996e-07	100000.000	1.66470
foilsflash08R00_00	250.0000	181.1019	0.831576	0.128839	0.9500	0.9500	2.88000	6.58410e-07	100000.000	2.81416
foilsflash08R00_17	250.0000	250.0000	0.010000	1.000000	0.0000	0.7481	1.81000	6.52963e-07	100000.000	1.74470
foilsflash08R00_10	50.0000	159.3544	0.010000	1.000000	0.9500	0.7213	2.29000	6.24471e-07	100000.000	2.22755
foilsflash08R00_02	250.0000	163.0807	0.538563	0.010000	0.9500	0.4960	3.03000	6.24198e-07	100000.000	2.96758
foilsflash08R00_01	50.0000	50.0000	0.010000	0.092100	0.4831	0.9500	3.17000	6.67131e-07	100000.000	3.10329
foilsflash08R00_18	250.0000	250.0000	0.448837	0.010000	0.9500	0.0000	3.09000	7.08898e-07	100000.000	3.01911
foilsflash08R00_04	50.0000	250.0000	0.010000	1.000000	0.9500	0.7358	1.76000	6.14872e-07	100000.000	1.69851
foilsflash08R00_16	250.0000	250.0000	0.748463	0.120864	0.9500	0.8857	2.83000	6.47508e-07	100000.000	2.76525
foilsflash08R00_14	107.3720	106.4338	0.010000	0.199386	0.7068	0.1357	3.75000	1.06016e-06	100000.000	3.64398
foilsflash08R00_05	50.0000	165.5534	1.000000	0.010000	0.9500	0.9500	3.05000	6.83780e-07	100000.000	2.98162
foilsflash08R00_06	250.0000	167.0056	1.000000	1.000000	0.9500	0.7745	2.13000	6.28505e-07	100000.000	2.06715
foilsflash08R00_03	250.0000	135.5413	0.010000	0.190195	0.8898	0.0000	3.69000	1.04691e-06	100000.000	3.58531
foilsflash08R00_08	250.0000	250.0000	0.010000	0.010000	0.9500	0.0000	3.26000	6.66178e-07	100000.000	3.19338
foilsflash08R00_07	50.0000	250.0000	0.010000	1.000000	0.5201	0.7185	1.74000	6.35011e-07	100000.000	1.67650
foilsflash08R00_13	50.0000	132.1212	0.690275	0.133737	0.9500	0.9500	3.13000	6.64829e-07	100000.000	3.06352
foilsflash08R00_19	172.3983	107.8040	0.010000	0.197169	0.7848	0.5606	3.56000	7.22873e-07	100000.000	3.48771
foilsflash08R00_15	50.0000	50.0000	0.388533	0.461789	0.9500	0.9500	3.19000	6.91070e-07	100000.000	3.12089
foilsflash08R00_12	250.0000	140.4245	0.010000	0.673740	0.4641	0.9500	3.00000	6.79501e-07	100000.000	2.93205
foilsflash08R00_09	50.0000	92.8423	0.010000	0.010000	0.9500	0.0000	3.22000	6.91794e-07	100000.000	3.15082
foilsflash08R00_11	250.0000	250.0000	0.780212	0.187963	0.9500	0.6223	2.36000	6.51644e-07	100000.000	2.29484
foilsflash08R01_05	250.0000	120.2046	0.010000	0.084462	0.9500	0.2214	3.69000	7.88284e-07	100000.000	3.61117
foilsflash08R01_04	50.0000	250.0000	0.010000	0.010000	0.5420	0.9500	3.14000	6.31209e-07	100000.000	3.07688
foilsflash08R01_01	250.0000	250.0000	1.000000	0.010000	0.9500	0.4424	2.94000	6.52367e-07	100000.000	2.87476
foilsflash08R01_02	250.0000	168.9789	0.010000	0.084902	0.4250	0.8309	3.05000	6.38299e-07	100000.000	2.98617
foilsflash08R01_00	50.0000	250.0000	0.010000	1.000000	0.0000	0.8692	2.16000	6.89031e-07	100000.000	2.09110
foilsflash08R01_09	50.0000	250.0000	0.010000	0.010000	0.4137	0.3038	3.22000	6.49320e-07	100000.000	3.15507
foilsflash08R01_03	50.0000	250.0000	0.010000	0.010000	0.1607	0.0000	3.29000	6.93103e-07	100000.000	3.22069
foilsflash08R01_10	107.6698	195.2040	0.338889	1.000000	0.9500	0.7607	2.03000	5.99900e-07	100000.000	1.97001
foilsflash08R01_08	50.0000	250.0000	1.000000	0.010000	0.9500	0.0000	3.19000	7.18220e-07	100000.000	3.11818
foilsflash08R01_06	250.0000	132.5842	0.010000	0.010000	0.9500	0.2515	3.25000	6.77416e-07	100000.000	3.18226
foilsflash08R01_07	50.0000	250.0000	0.010000	0.830032	0.0000	0.9500	2.76000	6.53801e-07	100000.000	2.69462
foilsflash08R01_14	50.0000	168.7061	0.010000	0.855788	0.9500	0.9500	2.87000	6.53432e-07	100000.000	2.80466
foilsflash08R01_12	250.0000	217.3691	0.010000	0.176778	0.0531	0.6891	2.79000	6.32943e-07	100000.000	2.72671
foilsflash08R01_11	250.0000	250.0000	0.429212	0.010000	0.9500	0.5875	2.94000	6.26633e-07	100000.000	2.87734
foilsflash08R01_15	250.0000	50.0000	0.010000	0.427797	0.9500	0.9500	3.18000	6.90822e-07	100000.000	3.11092
foilsflash08R01_13	128.5534	84.2844	0.010000	0.173268	0.6632	0.0000	3.69000	1.08299e-06	100000.000	3.58170
foilsflash08R01_18	117.2717	250.0000	0.010000	0.010000	0.0000	0.0000	3.35000	7.21179e-07	100000.000	3.27788
foilsflash08R01_17	50.0000	250.0000	0.010000	0.454009	0.0000	0.9500	2.89000	6.80845e-07	100000.000	2.82192
foilsflash08R01_16	78.2837	95.3440	0.010000	0.159410	0.6360	0.4497	3.64000	7.60469e-07	100000.000	3.56395
foilsflash08R01_19	50.0000	250.0000	0.559657	0.010000	0.9500	0.6950	3.09000	6.44891e-07	100000.000	3.02551
foilsflashSOBX01	112.4760	109.9162	0.063100	0.144736	0.1778	0.0000	3.90000	1.08064e-06	100000.000	3.79194
foilsflash09R00_03	250.0000	96.7123	1.000000	0.177238	0.9500	0.6924	3.26000	7.00652e-07	100000.000	3.18993
foilsflash09R00_04	136.2548	115.9453	0.010000	0.163432	0.0142	0.0885	3.82000	1.04166e-06	100000.000	3.71583
foilsflash09R00_00	89.2856	121.6676	0.010000	0.163405	0.1485	0.0000	3.81000	1.04131e-06	100000.000	3.70587
foilsflash09R00_05	210.2904	250.0000	0.461750	0.557739	0.9500	0.7875	2.07000	6.19570e-07	100000.000	2.00804
foilsflash09R00_01	82.4556	129.2121	0.010000	0.121295	0.1259	0.1126	3.78000	8.60545e-07	100000.000	3.69395
foilsflash09R00_07	239.6065	111.9614	0.010000	0.105935	0.0000	0.5159	3.58000	7.12218e-07	100000.000	3.50878
foilsflash09R00_06	229.9745	107.4120	0.010000	0.154851	0.2582	0.8006	3.38000	6.71276e-07	100000.000	3.31287
foilsflash09R00_08	190.5568	99.7201	0.010000	0.143389	0.0932	0.6767	3.53000	6.79139e-07	100000.000	3.46209
foilsflash09R00_09	179.0993	116.6222	0.010000	0.131784	0.8508	0.5465	3.55000	6.67782e-07	100000.000	3.48322
foilsflash09R00_02	250.0000	108.5235	0.010000	0.141644	0.9500	0.3981	3.66000	7.42515e-07	100000.000	3.58575
foilsflash10R00_02	250.0000	183.2853	0.720386	0.002000	0.9500	0.6660	2.95000	6.63119e-07	100000.000	2.88369
foilsflash10R00_00	169.7611	108.8837	0.002000	0.140646	0.2136	0.0473	3.78000	9.92809e-07	100000.000	3.68072
foilsflash10R00_03	50.0000	125.3995	0.002000	0.002000	0.3113	0.2397	3.15000	6.28613e-07	100000.000	3.08714
foilsflash10R00_04	250.0000	139.0059	1.000000	0.292234	0.9500	0.9500	2.92000	6.41932e-07	100000.000	2.85581
foilsflash10R00_05	209.9961	157.5411	0.002000	0.212565	0.9500	0.8012	3.05000	6.57811e-07	100000.000	2.98422
foilsflash11R00_03	197.9115	187.8108	0.002000	1.000000	0.9500	0.7905	2.11000	6.37345e-07	100000.000	2.04627
foilsflash11R00_05	250.0000	187.3596	0.554517	1.000000	0.9500	0.7564	1.94000	6.32611e-07	100000.000	1.87674
foilsflash10R00_07	51.7630	108.2596	0.002000	0.137010	0.4834	0.7029	3.46000	6.61930e-07	100000.000	3.39381
foilsflash10R00_06	58.0067	93.2331	0.002000	0.243892	0.3383	0.9500	3.23000	6.34786e-07	100000.000	3.16652
foilsflash11R00_02	77.3072	128.8825	0.002000	0.002000	0.3173	0.2447	3.16000	6.73128e-07	100000.000	3.09269
foilsflash11R00_00	151.4903	102.6025	0.002000	0.144128	0.2172	0.0395	3.77000	9.89929e-07	100000.000	3.67101
foilsflash11R00_01	166.0700	114.7187	0.002000	0.115207	0.1782	0.1660	3.75000	8.71445e-07	100000.000	3.66286
foilsflash11R00_04	250.0000	166.7232	0.524543	0.503643	0.9500	0.8342	2.57000	6.44846e-07	100000.000	2.50552
foilsflash11R00_07	50.9169	126.4591	0.002000	0.146096	0.8927	0.7916	3.31000	6.25946e-07	100000.000	3.24741
foilsflash11R00_06	85.9666	108.9398	0.002002	0.092662	0.2453	0.1516	3.72000	8.36521e-07	100000.000	3.63635
foilsflash11R00_08	64.7031	113.4353	0.002000	0.046162	0.1600	0.3220	3.51000	6.69143e-07	100000.000	3.44309
foilsflash11R00_09	72.6394	100.3158	0.002000	0.237841	0.0000	0.9216	3.27000	6.49349e-07	100000.000	3.20507
